采集时间,塔顶温度(℃),塔顶压力(kPa),回流流量(t/h),后续流程流量(t/h),第六塔板温度(℃),塔底温度A(℃),塔底温度B(℃),C4浓度(%)
2026-07-01 00:00:00,63.151,626.509,81.901,116.001,82.353,113.845,113.839,1.18
2026-07-01 00:01:00,63.238,628.017,81.934,116.103,82.391,113.91,113.897,1.188
2026-07-01 00:02:00,63.32,627.687,81.645,116.212,82.307,113.98,113.928,1.183
2026-07-01 00:03:00,63.208,626.913,82.762,116.355,82.201,113.829,113.789,1.188
2026-07-01 00:04:00,63.242,627.505,81.695,116.66,82.533,113.989,114.003,1.172
2026-07-01 00:05:00,63.164,627.282,82.14,116.81,82.411,113.886,114.009,1.164
2026-07-01 00:06:00,63.202,628.877,82.477,116.043,82.22,113.907,113.988,1.178
2026-07-01 00:07:00,63.217,628.736,82.52,116.446,82.25,114.007,114.073,1.176
2026-07-01 00:08:00,63.129,625.916,82.618,116.362,82.331,114.022,114.179,1.178
2026-07-01 00:09:00,63.184,628.689,82.304,115.886,82.332,113.816,114.034,1.173
2026-07-01 00:10:00,63.175,628.136,82.995,116.867,82.407,113.921,114.054,1.187
2026-07-01 00:11:00,63.25,628.953,82.594,116.307,82.435,113.907,113.955,1.197
2026-07-01 00:12:00,63.218,627.449,82.686,116.259,82.319,113.893,114.028,1.183
2026-07-01 00:13:00,63.139,629.144,82.242,116.682,82.378,113.846,114.192,1.181
2026-07-01 00:14:00,63.198,628.969,83.018,116.537,82.308,113.792,114.087,1.179
2026-07-01 00:15:00,63.226,628.872,82.801,115.988,82.219,113.92,114.139,1.183
2026-07-01 00:16:00,63.193,629.01,83.067,116.402,82.403,113.77,114.149,1.188
2026-07-01 00:17:00,63.114,627.752,83.123,117.05,82.266,113.88,114.217,1.208
2026-07-01 00:18:00,63.139,630.483,82.811,117.304,82.2,113.815,114.092,1.189
2026-07-01 00:19:00,63.224,631.998,82.958,117.192,82.17,113.82,114.108,1.188
2026-07-01 00:20:00,63.307,629.703,83.127,116.843,82.38,113.845,114.323,1.195
2026-07-01 00:21:00,63.142,630.221,83.411,116.49,82.255,113.789,114.05,1.201
2026-07-01 00:22:00,63.095,631.783,83.091,117.019,82.453,114.076,114.467,1.183
2026-07-01 00:23:00,63.353,630.835,83.332,116.669,82.417,113.934,114.38,1.178
2026-07-01 00:24:00,63.215,630.836,83.582,116.532,82.234,113.916,114.301,1.187
2026-07-01 00:25:00,63.144,631.254,82.924,117.254,82.479,114.185,114.616,1.179
2026-07-01 00:26:00,63.197,631.975,83.226,117.383,82.367,114.123,114.591,1.2
2026-07-01 00:27:00,63.155,631.091,82.839,116.671,82.319,113.723,114.247,1.191
2026-07-01 00:28:00,63.182,631.513,83.35,117.172,82.399,113.894,114.423,1.184
2026-07-01 00:29:00,63.194,629.959,83.279,116.644,82.271,114.047,114.602,1.182
2026-07-01 00:30:00,63.234,632.364,83.482,116.798,82.373,114.09,114.669,1.206
2026-07-01 00:31:00,63.172,631.871,83.547,117.249,82.234,113.918,114.393,1.21
2026-07-01 00:32:00,63.159,630.84,84.048,117.163,82.304,113.889,114.512,1.206
2026-07-01 00:33:00,63.3,632.041,83.843,116.911,82.259,114.095,114.563,1.191
2026-07-01 00:34:00,63.365,634.256,83.675,116.966,82.396,114.089,114.763,1.2
2026-07-01 00:35:00,63.359,634.481,83.92,117.355,82.373,114.139,114.625,1.202
2026-07-01 00:36:00,63.181,634.524,84.141,117.107,82.462,114.004,114.622,1.219
2026-07-01 00:37:00,63.277,632.205,83.981,117.556,82.354,113.91,114.629,1.21
2026-07-01 00:38:00,63.297,634.557,84.072,117.387,82.319,114.082,114.667,1.223
2026-07-01 00:39:00,63.156,633.626,83.778,117.589,82.249,113.837,114.35,1.203
2026-07-01 00:40:00,63.186,632.869,84.346,117.605,82.356,114.008,114.592,1.206
2026-07-01 00:41:00,63.18,633.958,84.411,116.98,82.494,113.828,114.487,1.203
2026-07-01 00:42:00,63.255,636.774,83.59,117.563,82.39,114.096,114.719,1.202
2026-07-01 00:43:00,63.287,630.613,84.285,117.454,82.358,113.92,114.664,1.215
2026-07-01 00:44:00,63.184,631.583,84.031,117.61,82.334,113.925,114.757,1.205
2026-07-01 00:45:00,63.34,634.204,84.5,117.986,82.231,113.969,114.687,1.209
2026-07-01 00:46:00,63.3,633.41,84.296,118.096,82.531,113.923,114.662,1.211
2026-07-01 00:47:00,63.254,635.546,84.359,118.101,82.447,114.02,114.79,1.185
2026-07-01 00:48:00,63.168,631.969,84.813,117.171,82.283,113.788,114.621,1.203
2026-07-01 00:49:00,63.175,634.251,84.964,117.325,82.482,113.846,114.696,1.193
2026-07-01 00:50:00,63.346,636.773,84.657,117.386,82.268,113.986,114.749,1.216
2026-07-01 00:51:00,63.168,634.332,84.267,117.932,82.306,114.117,114.9,1.208
2026-07-01 00:52:00,63.345,635.335,84.707,117.991,82.505,114.066,114.966,1.227
2026-07-01 00:53:00,63.238,635.403,84.27,118.347,82.394,114.191,115.074,1.228
2026-07-01 00:54:00,63.142,632.769,84.939,118.236,82.405,114.114,114.883,1.21
2026-07-01 00:55:00,63.392,634.877,85.176,117.547,82.366,113.975,114.71,1.226
2026-07-01 00:56:00,63.36,636.387,84.88,117.921,82.397,114.083,114.824,1.225
2026-07-01 00:57:00,63.179,634.567,84.935,117.805,82.348,114.114,114.883,1.212
2026-07-01 00:58:00,63.085,635.902,84.958,117.397,82.288,113.955,114.9,1.203
2026-07-01 00:59:00,63.252,636.287,85.101,117.548,82.193,114.171,114.986,1.211
2026-07-01 01:00:00,63.252,636.429,85.15,117.013,82.222,114.049,114.958,1.206
2026-07-01 01:01:00,63.273,637.449,85.426,117.95,82.519,113.976,114.917,1.202
2026-07-01 01:02:00,63.247,636.479,84.983,118.22,82.449,113.948,114.832,1.208
2026-07-01 01:03:00,63.166,635.466,84.761,117.987,82.346,113.974,114.949,1.196
2026-07-01 01:04:00,63.193,636.767,84.883,118.617,82.382,114.155,115.152,1.216
2026-07-01 01:05:00,63.401,636.553,85.559,117.733,82.277,114.029,115.017,1.211
2026-07-01 01:06:00,63.174,635.806,85.279,117.456,82.377,113.789,114.805,1.219
2026-07-01 01:07:00,63.217,638.122,85.321,117.814,82.153,113.947,114.994,1.205
2026-07-01 01:08:00,63.256,636.509,85.697,118.387,82.55,114.022,114.974,1.191
2026-07-01 01:09:00,63.417,637.586,86.051,118.306,82.433,113.863,114.845,1.215
2026-07-01 01:10:00,63.077,637.388,85.214,117.908,82.265,114.022,114.955,1.221
2026-07-01 01:11:00,63.297,636.76,86.149,118.183,82.468,114.087,115.068,1.207
2026-07-01 01:12:00,63.167,636.958,85.607,118.572,82.435,113.967,115.054,1.2
2026-07-01 01:13:00,63.198,637.455,85.369,118.07,82.513,113.926,114.919,1.218
2026-07-01 01:14:00,63.094,635.932,85.503,117.977,82.371,113.997,114.941,1.219
2026-07-01 01:15:00,63.121,639.285,85.712,118.043,82.384,114.08,115.048,1.183
2026-07-01 01:16:00,63.251,637.222,85.781,118.124,82.327,114.127,115.24,1.202
2026-07-01 01:17:00,63.243,639.664,85.58,118.177,82.328,114.146,115.36,1.231
2026-07-01 01:18:00,63.344,637.143,85.965,118.264,82.206,113.994,115.117,1.214
2026-07-01 01:19:00,63.23,638.204,86.076,117.997,82.303,113.897,114.857,1.221
2026-07-01 01:20:00,63.227,640.807,86.035,118.746,82.47,114.096,115.078,1.214
2026-07-01 01:21:00,63.207,636.72,86.051,118.679,82.475,113.928,115.042,1.219
2026-07-01 01:22:00,63.237,640.127,85.966,118.27,82.322,114.179,115.239,1.208
2026-07-01 01:23:00,63.288,639.223,86.158,118.096,82.517,114.155,115.302,1.202
2026-07-01 01:24:00,63.177,638.017,86.187,118.287,82.304,114.231,115.236,1.2
2026-07-01 01:25:00,63.177,638.728,86.149,118.526,82.501,114.238,115.364,1.206
2026-07-01 01:26:00,63.232,637.39,86.223,118.048,82.317,114.135,115.321,1.223
2026-07-01 01:27:00,63.122,639.247,86.225,118.392,82.318,113.941,115.062,1.218
2026-07-01 01:28:00,63.338,641.159,86.053,118.451,82.552,114.033,115.166,1.206
2026-07-01 01:29:00,63.316,640.395,85.69,117.77,82.349,114.143,115.344,1.223
2026-07-01 01:30:00,63.167,639.038,86.553,118.748,82.389,114.216,115.429,1.217
2026-07-01 01:31:00,63.253,639.583,86.095,117.836,82.358,114.135,115.328,1.235
2026-07-01 01:32:00,63.26,638.339,85.9,118.739,82.3,113.917,115.113,1.21
2026-07-01 01:33:00,63.216,640.826,86.291,118.114,82.371,113.913,115.082,1.216
2026-07-01 01:34:00,63.082,639.776,86.772,118.223,82.297,113.924,115.133,1.225
2026-07-01 01:35:00,63.335,641.536,86.483,118.129,82.533,114.129,115.324,1.218
2026-07-01 01:36:00,63.25,639.663,85.996,118.101,82.345,114.131,115.396,1.237
2026-07-01 01:37:00,63.312,641.327,86.421,117.958,82.252,114.041,115.263,1.234
2026-07-01 01:38:00,63.337,638.712,86.699,118.723,82.331,114.092,115.342,1.212
2026-07-01 01:39:00,63.194,639.812,86.307,118.224,82.404,114.196,115.393,1.214
2026-07-01 01:40:00,63.348,639.836,86.157,117.69,82.406,113.972,115.265,1.207
2026-07-01 01:41:00,63.231,641.004,86.344,117.904,82.29,114.024,115.215,1.22
2026-07-01 01:42:00,63.16,639.35,86.598,118.101,82.397,113.952,115.116,1.224
2026-07-01 01:43:00,63.273,640.117,86.734,118.172,82.514,113.873,115.024,1.22
2026-07-01 01:44:00,63.342,640.165,86.65,118.107,82.301,114.041,115.272,1.213
2026-07-01 01:45:00,63.351,641.164,86.779,118.003,82.402,114.074,115.341,1.235
2026-07-01 01:46:00,63.207,638.596,87.189,118.058,82.392,114.289,115.432,1.203
2026-07-01 01:47:00,63.235,641.558,86.681,118.024,82.354,114.071,115.198,1.223
2026-07-01 01:48:00,63.244,639.756,86.842,118.304,82.374,114.114,115.263,1.237
2026-07-01 01:49:00,63.346,640.912,86.192,118.308,82.576,114.202,115.243,1.22
2026-07-01 01:50:00,63.416,642.157,86.037,118.096,82.443,114.075,115.213,1.225
2026-07-01 01:51:00,63.338,638.839,86.865,118.382,82.371,114.061,115.259,1.218
2026-07-01 01:52:00,63.252,642.114,86.551,118.333,82.412,114.067,115.186,1.222
2026-07-01 01:53:00,63.278,639.353,86.651,118.32,82.48,114.211,115.277,1.206
2026-07-01 01:54:00,63.334,642.539,86.56,118.265,82.385,114.153,115.254,1.228
2026-07-01 01:55:00,63.271,639.868,86.653,117.647,82.221,114.044,115.357,1.217
2026-07-01 01:56:00,63.374,641.946,86.942,118.244,82.317,114.045,115.258,1.232
2026-07-01 01:57:00,63.38,639.995,86.623,118.089,82.42,113.977,115.148,1.217
2026-07-01 01:58:00,63.277,641.048,87.225,118.069,82.317,114.17,115.393,1.209
2026-07-01 01:59:00,63.212,641.549,86.762,118.072,82.33,113.933,115.119,1.22
2026-07-01 02:00:00,63.23,642.757,86.934,118.64,82.429,114.129,115.39,1.226
2026-07-01 02:01:00,63.23,639.743,86.824,118.219,82.362,114.054,115.242,1.197
2026-07-01 02:02:00,63.237,641.189,86.498,118.108,82.114,114.206,115.3,1.225
2026-07-01 02:03:00,63.253,640.79,86.559,118.607,82.242,114.024,115.15,1.198
2026-07-01 02:04:00,63.238,641.454,87.244,118.472,82.252,114.256,115.35,1.211
2026-07-01 02:05:00,63.267,642.103,87.071,118.21,82.202,114.109,115.298,1.236
2026-07-01 02:06:00,63.265,642.068,86.898,117.883,82.549,113.886,115.033,1.233
2026-07-01 02:07:00,63.368,643.296,86.762,117.655,82.215,114.134,115.34,1.219
2026-07-01 02:08:00,63.38,641.543,86.787,117.792,82.238,114.119,115.263,1.23
2026-07-01 02:09:00,63.343,643.981,86.733,118.115,82.38,114.312,115.436,1.224
2026-07-01 02:10:00,63.288,642.792,86.44,117.448,82.184,113.939,115.032,1.214
2026-07-01 02:11:00,63.331,641.572,86.737,118.017,82.282,113.98,115.115,1.22
2026-07-01 02:12:00,63.25,642.129,87.183,118.301,82.418,113.988,115.111,1.222
2026-07-01 02:13:00,63.302,644.483,86.975,117.985,82.319,113.952,115.139,1.222
2026-07-01 02:14:00,63.379,642.467,86.743,117.403,82.234,114.223,115.225,1.213
2026-07-01 02:15:00,63.289,643.527,86.751,117.544,82.346,114.094,115.201,1.225
2026-07-01 02:16:00,63.191,640.119,87.348,117.852,82.417,114.286,115.387,1.214
2026-07-01 02:17:00,63.276,642.716,87.166,118.421,82.346,114.147,115.233,1.219
2026-07-01 02:18:00,63.267,644.599,87.173,117.799,82.179,114.072,115.019,1.22
2026-07-01 02:19:00,63.401,643.864,86.622,117.939,82.173,114.162,115.353,1.233
2026-07-01 02:20:00,63.242,643.419,87.098,118.145,82.48,113.93,114.96,1.216
2026-07-01 02:21:00,63.277,644.385,86.672,117.825,82.118,114.174,115.187,1.232
2026-07-01 02:22:00,63.379,643.893,86.648,117.59,82.377,114.12,115.238,1.217
2026-07-01 02:23:00,63.285,641.691,87.067,117.603,82.34,114.115,115.215,1.212
2026-07-01 02:24:00,63.391,644.535,86.702,118.133,82.285,114.072,115.174,1.22
2026-07-01 02:25:00,63.308,644.196,86.66,117.349,82.273,114.051,115.093,1.227
2026-07-01 02:26:00,63.226,641.657,86.785,117.375,82.126,114.065,115.053,1.207
2026-07-01 02:27:00,63.322,642.713,87.003,117.688,82.273,113.902,114.928,1.234
2026-07-01 02:28:00,63.388,642.573,86.426,117.317,82.357,113.797,114.823,1.232
2026-07-01 02:29:00,63.29,643.456,86.949,118.145,82.528,114.045,115.047,1.228
2026-07-01 02:30:00,63.298,643.595,86.951,117.758,82.231,114.011,115.117,1.21
2026-07-01 02:31:00,63.171,641.637,87.148,117.695,82.323,114.004,115.041,1.223
2026-07-01 02:32:00,63.339,643.239,86.538,117.398,82.446,114.159,115.155,1.233
2026-07-01 02:33:00,63.446,645.67,86.454,117.514,82.304,113.898,114.861,1.218
2026-07-01 02:34:00,63.421,644.415,86.064,117.139,82.204,113.844,114.789,1.228
2026-07-01 02:35:00,63.332,644.169,86.419,117.126,82.255,113.93,115.018,1.23
2026-07-01 02:36:00,63.336,643.439,86.405,117.33,82.099,114.015,114.977,1.205
2026-07-01 02:37:00,63.249,643.346,86.794,117.158,82.43,114.173,115.293,1.222
2026-07-01 02:38:00,63.282,643.222,86.64,117.221,82.208,114.194,115.13,1.211
2026-07-01 02:39:00,63.281,642.814,86.432,117.133,82.214,114.038,115.046,1.226
2026-07-01 02:40:00,63.315,646.679,86.744,117.712,82.399,114.164,115.04,1.219
2026-07-01 02:41:00,63.373,644.388,86.435,117.128,82.412,114.068,115.01,1.247
2026-07-01 02:42:00,63.381,643.523,86.247,117.505,82.369,114.189,115.1,1.238
2026-07-01 02:43:00,63.307,645.48,86.556,117.218,82.43,114.04,114.79,1.237
2026-07-01 02:44:00,63.288,645.466,86.924,117.498,82.251,114.14,114.949,1.214
2026-07-01 02:45:00,63.344,643.503,86.546,117.477,82.314,114.091,115.071,1.231
2026-07-01 02:46:00,63.419,644.423,86.952,116.942,82.151,114.148,114.968,1.201
2026-07-01 02:47:00,63.423,644.672,86.157,117.432,82.543,114.06,115.043,1.214
2026-07-01 02:48:00,63.387,645.506,86.31,116.738,82.256,114.017,114.73,1.223
2026-07-01 02:49:00,63.252,644.198,86.492,116.606,82.274,114.035,114.863,1.246
2026-07-01 02:50:00,63.425,642.829,85.873,116.685,82.154,113.93,114.785,1.219
2026-07-01 02:51:00,63.325,643.896,85.954,116.727,82.377,113.919,114.741,1.227
2026-07-01 02:52:00,63.284,643.705,86.52,116.585,82.074,114.018,114.796,1.237
2026-07-01 02:53:00,63.258,641.178,86.093,116.768,82.106,114.155,114.95,1.225
2026-07-01 02:54:00,63.267,642.248,86.427,116.786,82.374,113.95,114.559,1.216
2026-07-01 02:55:00,63.281,644.459,86.213,116.804,82.322,114.09,114.905,1.241
2026-07-01 02:56:00,63.443,643.569,86.472,117.09,82.16,113.837,114.674,1.242
2026-07-01 02:57:00,63.417,644.55,86.065,116.362,82.225,114.129,114.842,1.231
2026-07-01 02:58:00,63.269,643.984,86.632,116.746,82.283,114.035,114.906,1.221
2026-07-01 02:59:00,63.395,643.266,85.851,116.066,82.212,114.121,114.797,1.219
2026-07-01 03:00:00,63.382,644.205,85.984,116.104,82.112,114.279,114.999,1.21
2026-07-01 03:01:00,63.33,644.62,86.225,116.542,82.35,113.935,114.709,1.205
2026-07-01 03:02:00,63.392,644.945,86.305,116.066,82.101,113.967,114.48,1.229
2026-07-01 03:03:00,63.469,643.825,86.038,116.215,82.25,114.146,114.742,1.22
2026-07-01 03:04:00,103.388,642.518,86.222,116.431,82.226,114.023,114.643,1.232
2026-07-01 03:05:00,63.448,644.895,85.941,116.26,82.186,113.932,114.501,1.24
2026-07-01 03:06:00,63.384,644.237,85.713,115.899,82.171,113.988,114.556,1.219
2026-07-01 03:07:00,63.277,645.242,86.138,116.201,82.142,114.124,114.647,1.204
2026-07-01 03:08:00,63.242,644.216,86.104,116.471,82.015,114.148,114.635,1.227
2026-07-01 03:09:00,63.268,644.479,85.931,116.116,82.178,114.159,114.569,1.215
2026-07-01 03:10:00,63.291,645.366,86.024,116.297,82.237,113.793,114.299,1.222
2026-07-01 03:11:00,63.39,644.422,85.521,116.078,82.327,114.041,114.695,1.229
2026-07-01 03:12:00,63.414,641.803,85.898,115.726,82.164,113.851,114.244,1.221
2026-07-01 03:13:00,63.428,644.681,86.012,116.163,82.271,114.108,114.594,1.249
2026-07-01 03:14:00,63.306,643.039,85.705,116.21,82.192,113.836,114.235,1.222
2026-07-01 03:15:00,63.309,642.671,86.254,115.896,82.199,113.931,114.267,1.231
2026-07-01 03:16:00,63.291,640.987,85.871,115.349,82.217,114.162,114.572,1.237
2026-07-01 03:17:00,63.342,644.606,85.551,115.902,82.057,113.942,114.214,1.22
2026-07-01 03:18:00,63.285,642.961,85.474,115.142,82.228,113.807,114.244,1.235
2026-07-01 03:19:00,63.342,645.698,85.454,115.707,82.268,114.05,114.293,1.226
