timestamp,blast_flow_rate,hot_blast_pressure,cold_blast_pressure,cold_blast_temperature,oxygen_flow_rate,total_pressure_drop,upper_pressure_drop,lower_pressure_drop,top_gas_pressure,hot_blast_temperature,top_gas_co2,top_gas_h2,top_gas_temp_1,top_gas_temp_2,top_gas_temp_3,top_gas_temp_4,peripheral_gas_temp_1,peripheral_gas_temp_2,peripheral_gas_temp_3,peripheral_gas_temp_4,peripheral_gas_temp_5,peripheral_gas_temp_6,peripheral_gas_temp_7,peripheral_gas_temp_8,peripheral_gas_temp_9,peripheral_gas_temp_10,ore_coke_ratio,hot_metal_si,lab_source_timestamp,lab_age_minutes,lab_fresh
2013-01-01 00:00:00,3488.4,2.77,2.89,82.08,12511.37,1.47,0.54,0.93,1.3,1116.78,22.62,6.16,174.65,176.13,176.26,163.67,401.87,711.22,695.53,528.45,511.66,557.98,531.63,364.04,326.6,382.85,3.84,,,,False
2013-01-01 01:00:00,3514.32,2.78,2.91,81.6,15091.73,1.48,0.55,0.93,1.3,1117.57,22.97,6.13,174.99,161.15,161.91,160.65,357.66,670.27,608.44,479.42,492.85,483.2,455.37,333.48,301.2,336.32,3.83,0.5,2013-01-01 00:55:00,5.0,True
2013-01-01 02:00:00,3509.19,2.81,2.94,81.51,16910.19,1.52,0.58,0.94,1.3,1131.21,23.31,6.03,153.14,143.62,135.46,138.68,346.96,665.66,599.67,450.3,459.69,435.77,402.08,312.06,279.43,335.72,3.81,0.5,2013-01-01 00:55:00,65.0,True
2013-01-01 03:00:00,3504.78,2.8,2.96,80.68,17102.4,1.5,0.54,0.96,1.3,1111.66,23.38,6.1,158.64,143.24,136.45,142.12,324.85,626.72,532.38,418.98,433.73,391.76,361.85,281.23,245.95,314.39,3.8,0.5,2013-01-01 02:55:00,5.0,True
2013-01-01 04:00:00,3535.08,2.82,2.94,80.69,16821.54,1.51,0.52,0.99,1.31,1129.31,23.1,6.19,152.22,143.21,132.85,136.79,317.1,626.29,541.74,431.59,428.51,394.17,362.35,276.63,241.76,305.69,3.84,0.5,2013-01-01 02:55:00,65.0,True
2013-01-01 05:00:00,3560.28,2.9,3.03,81.12,16708.76,1.52,0.54,0.98,1.38,1124.26,23.04,6.15,147.71,140.49,134.02,139.17,297.38,598.66,549.98,428.73,418.51,379.33,352.55,259.93,229.28,295.19,3.85,0.62,2013-01-01 04:40:00,20.0,True
2013-01-01 06:00:00,3593.3,2.93,3.07,81.29,17402.6,1.53,0.56,0.98,1.4,1131.01,23.34,5.97,153.57,145.05,142.35,139.59,269.49,538.36,504.77,422.19,412.35,380.17,347.32,243.56,219.11,253.98,3.81,0.62,2013-01-01 04:40:00,80.0,True
2013-01-01 07:00:00,3586.97,2.93,3.07,81.31,17666.52,1.53,0.57,0.97,1.4,1129.29,23.21,6.12,140.67,138.72,130.01,134.68,252.65,498.89,490.87,428.48,405.68,354.14,347.87,247.41,205.64,255.21,3.82,0.62,2013-01-01 06:10:00,50.0,True
2013-01-01 08:00:00,3627.32,2.94,3.03,80.52,16303.48,1.54,0.57,0.97,1.4,1129.32,22.91,6.17,131.4,128.6,117.02,122.91,257.31,496.77,493.66,405.17,402.25,352.24,343.32,251.29,207.29,251.71,3.8,0.6,2013-01-01 07:50:00,10.0,True
2013-01-01 09:00:00,3560.38,2.96,3.03,79.91,15664.59,1.56,0.6,0.96,1.4,1130.4,22.73,6.28,129.21,123.31,114.46,118.15,283.87,522.22,492.87,393.79,390.39,360.1,343.92,244.75,220.28,257.41,3.82,0.6,2013-01-01 07:50:00,70.0,True
2013-01-01 10:00:00,3539.69,2.95,3.04,80.14,15414.59,1.55,0.59,0.96,1.4,1130.97,22.84,6.22,120.27,116.82,106.3,109.55,269.2,481.3,457.97,375.82,383.91,345.19,316.77,223.31,192.82,214.73,3.85,0.49,2013-01-01 09:50:00,10.0,True
2013-01-01 11:00:00,3525.77,2.97,3.03,79.53,15066.39,1.57,0.58,0.99,1.4,1147.23,22.99,6.25,138.97,130.0,123.63,128.12,262.68,525.63,478.98,381.85,386.03,362.02,321.39,218.78,195.89,238.51,3.87,0.49,2013-01-01 09:50:00,70.0,True
2013-01-01 12:00:00,3546.03,2.9,2.98,80.17,14933.86,1.51,0.54,0.97,1.4,1140.69,22.8,6.34,168.81,153.43,151.1,150.82,278.64,553.89,534.16,398.83,392.4,357.83,324.19,220.28,199.77,254.04,3.88,0.62,2013-01-01 12:00:00,0.0,True
2013-01-01 13:00:00,3589.76,2.87,2.93,80.72,14894.88,1.47,0.52,0.95,1.4,1139.18,22.78,6.32,164.54,153.1,147.47,151.43,291.2,587.73,542.86,419.77,402.59,366.76,329.84,239.28,218.31,268.54,3.89,0.62,2013-01-01 12:00:00,60.0,True
2013-01-01 14:00:00,3558.16,2.88,2.95,81.02,14768.09,1.48,0.53,0.94,1.4,1141.21,22.66,6.45,158.82,145.28,136.96,142.12,267.82,533.12,473.44,391.79,389.72,352.26,314.24,233.08,206.29,254.73,3.92,0.63,2013-01-01 13:30:00,30.0,True
2013-01-01 15:00:00,3505.86,2.87,2.95,81.46,14482.34,1.47,0.56,0.91,1.4,1128.37,22.47,6.55,135.6,132.58,124.5,127.69,266.18,527.1,452.27,399.57,385.52,355.25,322.98,232.05,190.43,236.39,3.89,0.43,2013-01-01 14:45:00,15.0,True
2013-01-01 16:00:00,3485.88,2.92,2.99,81.79,14153.21,1.52,0.58,0.95,1.4,1130.92,22.72,6.39,140.7,138.99,134.32,134.98,273.56,553.94,474.48,397.58,381.73,375.99,334.35,242.81,200.76,253.48,3.89,0.43,2013-01-01 14:45:00,75.0,True
2013-01-01 17:00:00,3462.72,2.89,2.97,81.34,14231.77,1.49,0.55,0.94,1.4,1130.94,22.88,6.4,144.14,134.74,127.12,133.71,276.46,551.34,520.5,406.6,385.27,372.13,336.46,240.88,204.8,252.68,3.86,0.46,2013-01-01 16:15:00,45.0,True
2013-01-01 18:00:00,3497.55,2.89,2.97,81.24,14162.33,1.5,0.57,0.93,1.4,1124.02,22.81,6.37,147.19,141.63,133.35,135.58,302.59,589.38,549.43,422.89,390.99,371.66,329.0,233.5,202.92,263.69,3.89,0.46,2013-01-01 16:15:00,105.0,True
2013-01-01 19:00:00,3504.84,2.9,3.02,82.27,14487.49,1.51,0.58,0.92,1.4,1131.39,22.85,6.33,164.91,151.9,150.82,142.45,327.03,640.83,648.4,447.35,410.75,423.57,375.25,252.01,224.69,284.87,3.91,0.63,2013-01-01 18:15:00,45.0,True
2013-01-01 20:00:00,3522.76,2.91,2.97,82.45,15638.44,1.51,0.55,0.96,1.4,1128.81,22.95,6.28,163.37,155.79,151.59,149.87,329.82,640.59,612.9,464.33,423.59,400.69,368.29,264.57,233.91,292.19,3.86,0.53,2013-01-01 19:50:00,10.0,True
2013-01-01 21:00:00,3475.61,2.91,3.01,82.61,15512.59,1.51,0.57,0.94,1.4,1127.18,23.16,6.28,128.87,130.14,122.9,126.73,316.4,590.01,550.87,435.47,410.51,380.04,357.67,257.97,253.74,325.64,3.74,0.53,2013-01-01 19:50:00,70.0,True
2013-01-01 22:00:00,3506.15,2.95,3.01,81.48,15383.7,1.55,0.58,0.97,1.39,1130.67,23.22,6.21,117.07,125.08,113.63,120.26,318.27,619.11,590.96,442.3,401.92,385.53,348.41,260.05,281.53,329.11,3.77,0.58,2013-01-01 21:15:00,45.0,True
2013-01-01 23:00:00,3513.52,2.95,3.01,80.89,15261.39,1.55,0.59,0.96,1.4,1131.9,23.38,6.23,111.27,117.91,104.79,111.5,387.45,637.48,632.54,429.83,415.8,430.88,363.64,296.0,322.14,329.36,3.9,0.59,2013-01-01 22:45:00,15.0,True
2013-01-02 00:00:00,3518.55,2.93,3.02,81.27,15507.1,1.53,0.58,0.95,1.4,1130.53,23.26,6.17,127.28,126.44,122.88,125.12,350.73,628.54,650.33,447.62,428.86,427.47,369.54,317.97,301.66,317.34,3.95,0.59,2013-01-01 22:45:00,75.0,True
