point_id,semantic_name,standard_field,measurement_type,unit,equipment,process_module,scene,confidence,source
PT_8313A.AV_0,upper_furnace_pressure_a,upper_furnace_pressure_a,pressure,Pa,boiler,furnace,thermal_power_boiler_long_tail,0.99,doi:10.1038/s41597-025-05096-4 Table 1
PT_8313B.AV_0,upper_furnace_pressure_b,upper_furnace_pressure_b,pressure,Pa,boiler,furnace,thermal_power_boiler_long_tail,0.99,doi:10.1038/s41597-025-05096-4 Table 1
PT_8313C.AV_0,upper_furnace_pressure_c,upper_furnace_pressure_c,pressure,Pa,boiler,furnace,thermal_power_boiler_long_tail,0.99,doi:10.1038/s41597-025-05096-4 Table 1
PT_8313D.AV_0,upper_furnace_pressure_d,upper_furnace_pressure_d,pressure,Pa,boiler,furnace,thermal_power_boiler_long_tail,0.99,doi:10.1038/s41597-025-05096-4 Table 1
PT_8313E.AV_0,upper_furnace_pressure_e,upper_furnace_pressure_e,pressure,Pa,boiler,furnace,thermal_power_boiler_long_tail,0.99,doi:10.1038/s41597-025-05096-4 Table 1
PT_8313F.AV_0,upper_furnace_pressure_f,upper_furnace_pressure_f,pressure,Pa,boiler,furnace,thermal_power_boiler_long_tail,0.99,doi:10.1038/s41597-025-05096-4 Table 1
PTCA_8324.AV_0,container_outlet_vapour_pressure,container_outlet_vapour_pressure,pressure,MPa,boiler,steam_water_system,thermal_power_boiler_long_tail,0.99,doi:10.1038/s41597-025-05096-4 Table 1
PTCA_8322A.AV_0,pot_pressure_left,pot_pressure_left,pressure,MPa,boiler,steam_water_system,thermal_power_boiler_long_tail,0.99,doi:10.1038/s41597-025-05096-4 Table 1
TE_8319A.AV_0,economizer_outlet_flue_gas_temperature_left,economizer_outlet_flue_gas_temperature_left,temperature,degC,economizer,flue_gas_system,thermal_power_boiler_long_tail,0.99,doi:10.1038/s41597-025-05096-4 Table 1
TE_8319B.AV_0,economizer_outlet_flue_gas_temperature_right,economizer_outlet_flue_gas_temperature_right,temperature,degC,economizer,flue_gas_system,thermal_power_boiler_long_tail,0.99,doi:10.1038/s41597-025-05096-4 Table 1
TE_8313B.AV_0,upper_furnace_temperature_right,upper_furnace_temperature_right,temperature,degC,boiler,furnace,thermal_power_boiler_long_tail,0.99,doi:10.1038/s41597-025-05096-4 Table 1
TE_8303.AV_0,primary_air_preheater_outlet_temperature,primary_air_preheater_outlet_temperature,temperature,degC,air_preheater,primary_air_system,thermal_power_boiler_long_tail,0.99,doi:10.1038/s41597-025-05096-4 Table 1
TE_8304.AV_0,secondary_air_preheater_outlet_temperature,secondary_air_preheater_outlet_temperature,temperature,degC,air_preheater,secondary_air_system,thermal_power_boiler_long_tail,0.99,doi:10.1038/s41597-025-05096-4 Table 1
TV_8329ZC.AV_0,primary_desuperheater_temperature_valve,primary_desuperheater_temperature_valve,valve_position,percent,primary_desuperheater,steam_temperature_control,thermal_power_boiler_long_tail,0.99,doi:10.1038/s41597-025-05096-4 Table 1
FT_8301.AV_0,primary_fan_outlet_flow,primary_fan_outlet_flow,flow_rate,Nm3/h,primary_fan,primary_air_system,thermal_power_boiler_long_tail,0.99,doi:10.1038/s41597-025-05096-4 Table 1
FT_8302.AV_0,secondary_fan_outlet_flow,secondary_fan_outlet_flow,flow_rate,Nm3/h,secondary_fan,secondary_air_system,thermal_power_boiler_long_tail,0.99,doi:10.1038/s41597-025-05096-4 Table 1
FT_8306A.AV_0,return_air_chamber_flow_left,return_air_chamber_flow_left,flow_rate,source_scale,return_air_chamber,return_air_system,thermal_power_boiler_long_tail,0.99,doi:10.1038/s41597-025-05096-4 Table 1
AIR_8301A.AV_0,economizer_inlet_flue_gas_oxygen_left,economizer_inlet_flue_gas_oxygen_left,oxygen,percent,economizer,flue_gas_system,thermal_power_boiler_long_tail,0.99,doi:10.1038/s41597-025-05096-4 Table 1
FT_8306B.AV_0,return_air_chamber_flow_right,return_air_chamber_flow_right,flow_rate,source_scale,return_air_chamber,return_air_system,thermal_power_boiler_long_tail,0.99,doi:10.1038/s41597-025-05096-4 Table 1
AIR_8301B.AV_0,economizer_inlet_flue_gas_oxygen_right,economizer_inlet_flue_gas_oxygen_right,oxygen,percent,economizer,flue_gas_system,thermal_power_boiler_long_tail,0.99,doi:10.1038/s41597-025-05096-4 Table 1
YFJ3_AI.AV_0,induced_draft_fan_motor_current,induced_draft_fan_motor_current,current,A,induced_draft_fan,flue_gas_system,thermal_power_boiler_long_tail,0.99,doi:10.1038/s41597-025-05096-4 Table 1
