standard_name,display_name,description,role,data_type,unit,required,aliases,lower_bound,upper_bound
timestamp,时间戳,工业时序采样时间,time,datetime,datetime,true,时间|采集时间|记录时间|TIME|DATETIME|TS,,
raw_meal_feed,生料喂料量,进入预热器系统的生料质量流量,manipulated,float,t/h,true,生料量|喂料量|RAW_MEAL_FEED|RAW_FEED,0,1000
coal_feed,窑头喂煤量,回转窑燃烧器煤粉质量流量,manipulated,float,t/h,true,窑头煤量|喂煤量|KILN_COAL_FEED|COAL_FEED,0,100
calciner_coal_feed,分解炉喂煤量,分解炉煤粉质量流量,manipulated,float,t/h,false,炉煤量|分解炉煤量|CALCINER_COAL,0,150
kiln_speed,窑转速,回转窑筒体转速,manipulated,float,rpm,true,回转窑转速|窑速|KILN_SPEED,0,10
kiln_inlet_temperature,窑尾温度,回转窑入口气体或物料温度,state,float,degC,true,窑尾烟室温度|窑入口温度|KILN_INLET_TEMP,0,1600
kiln_outlet_temperature,窑头温度,回转窑出口熟料或火焰区代表温度,controlled,float,degC,true,窑头罩温度|窑出口温度|KILN_OUTLET_TEMP,0,2000
preheater_exit_temperature,预热器出口温度,一级筒出口气体温度,state,float,degC,false,C1出口温度|一级筒出口温度|PREHEATER_EXIT_TEMP,0,800
kiln_inlet_o2,窑尾含氧量,窑尾烟气氧气含量,state,float,percent,false,窑尾氧量|KILN_INLET_O2,0,21
id_fan_speed,高温风机转速,窑尾高温风机运行速度,manipulated,float,rpm,false,窑尾风机转速|ID_FAN_SPEED,0,5000
kiln_current,窑主电机电流,回转窑主电机负载电流,state,float,A,false,窑电流|主传电流|KILN_CURRENT,0,2000
clinker_free_lime,熟料游离钙,熟料中游离氧化钙质量百分比,controlled,float,percent,true,游离钙|f-CaO|FREE_LIME|CLINKER_FCAO,0,10
clinker_temperature,熟料温度,篦冷机入口熟料温度,state,float,degC,false,出窑熟料温度|CLINKER_TEMP,0,1600
