standard_name,display_name,description,role,data_type,unit,required,aliases,lower_bound,upper_bound
timestamp,时间戳,十五分钟能源采样时间,time,datetime,datetime,true,date|Date|datetime|记录时间|采集时间,,
energy_usage,工业用电量,采样区间内的工业电能消耗,controlled,float,kWh,true,Usage_kWh|usage kwh|energy consumption|industry energy consumption|用电量|能耗,0,200
lagging_reactive_energy,滞后无功电量,滞后电流对应的无功电量,disturbance,float,kVarh,true,Lagging_Current_Reactive.Power_kVarh|lagging current reactive power|滞后无功电量,0,100
leading_reactive_energy,超前无功电量,超前电流对应的无功电量,disturbance,float,kVarh,true,Leading_Current_Reactive_Power_kVarh|leading current reactive power|超前无功电量,0,100
co2_emission,二氧化碳排放,数据源记录的二氧化碳指标,state,float,tCO2,false,CO2(tCO2)|carbon emission|二氧化碳排放,0,1
lagging_power_factor,滞后功率因数,滞后电流功率因数,state,float,percent,false,Lagging_Current_Power_Factor|lagging power factor|滞后功率因数,0,100
leading_power_factor,超前功率因数,超前电流功率因数,state,float,percent,false,Leading_Current_Power_Factor|leading power factor|超前功率因数,0,100
seconds_from_midnight,午夜起秒数,从当日午夜起算的秒数,state,integer,s,false,NSM|number of seconds from midnight|午夜起秒数,0,86399
week_status,工作日状态,工作日或周末分类,identifier,category,string,false,WeekStatus|week status|weekday status|工作日状态,,
day_of_week,星期,一周中的日期分类,identifier,category,string,false,Day_of_week|day of week|weekday|星期,,
load_type,负荷等级,轻载中载或最大负荷分类,state,category,string,false,Load_Type|load type|load category|负荷类型,,
