standard_name,display_name,description,role,data_type,unit,required,aliases,lower_bound,upper_bound
timestamp,时间戳,锅炉过程采样时间,time,datetime,datetime,true,date|timestamp|time|采集时间,,
upper_furnace_pressure_a,上炉膛压力A,上炉膛A测点压力,state,float,Pa,true,PT_8313A.AV_0#|PT_8313A.AV_0,-1000,500
upper_furnace_pressure_b,上炉膛压力B,上炉膛B测点压力,state,float,Pa,false,PT_8313B.AV_0#|PT_8313B.AV_0,-1000,500
upper_furnace_pressure_c,上炉膛压力C,上炉膛C测点压力,state,float,Pa,false,PT_8313C.AV_0#|PT_8313C.AV_0,-1000,500
upper_furnace_pressure_d,上炉膛压力D,上炉膛D测点压力,state,float,Pa,false,PT_8313D.AV_0#|PT_8313D.AV_0,-1000,500
upper_furnace_pressure_e,上炉膛压力E,上炉膛E测点压力,state,float,Pa,false,PT_8313E.AV_0#|PT_8313E.AV_0,-1000,500
upper_furnace_pressure_f,上炉膛压力F,上炉膛F测点压力,state,float,Pa,false,PT_8313F.AV_0#|PT_8313F.AV_0,-1000,500
container_outlet_vapour_pressure,容器出口蒸汽压力,容器出口蒸汽压力,state,float,MPa,true,PTCA_8324.AV_0#|PTCA_8324.AV_0,0,20
pot_pressure_left,锅体压力左,锅体左侧压力,state,float,MPa,false,PTCA_8322A.AV_0#|PTCA_8322A.AV_0,0,20
economizer_outlet_flue_gas_temperature_left,省煤器出口烟温左,上部省煤器出口左侧烟气温度,state,float,degC,false,TE_8319A.AV_0#|TE_8319A.AV_0,0,600
economizer_outlet_flue_gas_temperature_right,省煤器出口烟温右,上部省煤器出口右侧烟气温度,state,float,degC,false,TE_8319B.AV_0#|TE_8319B.AV_0,0,600
upper_furnace_temperature_right,上炉膛温度右,炉膛上部右侧温度,state,float,degC,true,TE_8313B.AV_0#|TE_8313B.AV_0,0,1200
primary_air_preheater_outlet_temperature,一次空预器出口温度,一次空气预热器出口温度,state,float,degC,false,TE_8303.AV_0#|TE_8303.AV_0,0,500
secondary_air_preheater_outlet_temperature,二次空预器出口温度,二次空气预热器出口温度,state,float,degC,false,TE_8304.AV_0#|TE_8304.AV_0,0,500
primary_desuperheater_temperature_valve,一级减温阀位,一级减温器出口蒸汽温度调节阀位,manipulated,float,percent,false,TV_8329ZC.AV_0#|TV_8329ZC.AV_0,0,100
primary_fan_outlet_flow,一次风机出口流量,一次风机出口流量,manipulated,float,Nm3/h,true,FT_8301.AV_0#|FT_8301.AV_0,0,100000
secondary_fan_outlet_flow,二次风机出口流量,二次风机出口流量,manipulated,float,Nm3/h,false,FT_8302.AV_0#|FT_8302.AV_0,0,100000
return_air_chamber_flow_left,返料风室流量左,返料风室左侧空气流量,state,float,source_scale,false,FT_8306A.AV_0#|FT_8306A.AV_0,0,2000
economizer_inlet_flue_gas_oxygen_left,省煤器入口烟气氧量左,上部省煤器入口左侧烟气氧量,state,float,percent,false,AIR_8301A.AV_0#|AIR_8301A.AV_0,0,21
return_air_chamber_flow_right,返料风室流量右,返料风室右侧空气流量,state,float,source_scale,false,FT_8306B.AV_0#|FT_8306B.AV_0,0,2000
economizer_inlet_flue_gas_oxygen_right,省煤器入口烟气氧量右,上部省煤器入口右侧烟气氧量,state,float,percent,false,AIR_8301B.AV_0#|AIR_8301B.AV_0,0,21
induced_draft_fan_motor_current,引风机电流,引风机电机电流,state,float,A,false,YFJ3_AI.AV_0#|YFJ3_AI.AV_0,0,100
induced_draft_fan_vibration_a,引风机振动A,引风机轴承座A振动,state,float,mm/s,false,YFJ3_ZD1.AV_0#|YFJ3_ZD1.AV_0,0,50
induced_draft_fan_vibration_b,引风机振动B,引风机轴承座B振动,state,float,mm/s,false,YFJ3_ZD2.AV_0#|YFJ3_ZD2.AV_0,0,50
hearth_differential_pressure_left,炉膛上下压差左,炉膛上下部左侧压差,state,float,Pa,false,SXLTCYZ.AV_0#|SXLTCYZ.AV_0,-1500,500
hearth_differential_pressure_right,炉膛上下压差右,炉膛上下部右侧压差,state,float,Pa,false,SXLTCYY.AV_0#|SXLTCYY.AV_0,-1500,500
left_layer_differential_pressure,左床层压差,左侧床层压差,state,float,Pa,false,ZCLCCY.AV_0#|ZCLCCY.AV_0,0,20000
right_layer_differential_pressure,右床层压差,右侧床层压差,state,float,Pa,false,YCLCCY.AV_0#|YCLCCY.AV_0,0,20000
primary_desuperheating_water_flow,一级减温水流量,一级减温水流量,manipulated,float,t/h,true,YJJWSLL.AV_0#|YJJWSLL.AV_0,0,20
compensated_main_steam_flow,补偿后主蒸汽流量,补偿后的主蒸汽流量,state,float,t/h,true,ZZQBCHLL.AV_0#|ZZQBCHLL.AV_0,0,200
boiler_outlet_steam_temperature,锅炉出口蒸汽温度,锅炉出口蒸汽温度,controlled,float,degC,true,TE_8332A.AV_0#|TE_8332A.AV_0,450,650
