standard_name,display_name,description,role,data_type,unit,required,aliases,lower_bound,upper_bound
timestamp,绝对时间戳,实验采集绝对时间,time,datetime,datetime,true,timestamp|date|datetime,,
hours_elapsed,累计小时,实验开始后的累计小时,state,integer,h,true,hours_elapsed|elapsed hours,0,100000
temperature_01,温度通道01,原始温度测点01,state,float,degC,false,temp_01,-50,700
temperature_02,温度通道02,原始温度测点02,state,float,degC,false,temp_02,-50,700
temperature_03,温度通道03,原始温度测点03,state,float,degC,false,temp_03,-50,700
temperature_04,温度通道04,原始温度测点04,state,float,degC,false,temp_04,-50,700
temperature_05,温度通道05,原始温度测点05,state,float,degC,false,temp_05,-50,700
temperature_06,温度通道06,原始温度测点06,state,float,degC,false,temp_06,-50,700
temperature_07,温度通道07,原始温度测点07,state,float,degC,false,temp_07,-50,700
temperature_08,温度通道08,原始温度测点08,state,float,degC,false,temp_08,-50,700
temperature_09,温度通道09,原始温度测点09,state,float,degC,false,temp_09,-50,700
temperature_10,温度通道10,原始温度测点10,state,float,degC,false,temp_10,-50,700
temperature_11,温度通道11,原始温度测点11,state,float,degC,false,temp_11,-50,700
temperature_12,温度通道12,原始温度测点12,state,float,degC,false,temp_12,-50,700
temperature_13,温度通道13,原始温度测点13,state,float,degC,false,temp_13,-50,700
valve_output_01,阀门输出01,阀门控制输出01,manipulated,float,percent,false,valve_out_01,-10,100
valve_output_02,阀门输出02,阀门控制输出02,manipulated,float,percent,false,valve_out_02,-10,100
flow_01,流量通道01,原始流量测点01,manipulated,float,source_scale,false,flow_01,0,1000
flow_02,流量通道02,原始流量测点02,manipulated,float,source_scale,false,flow_02,0,1000
flow_03,流量通道03,原始流量测点03,manipulated,float,source_scale,false,flow_03,0,1000
pressure_01,压力通道01,原始压力测点01,state,float,source_scale,false,pres_01,0,5000
analyzer_01,分析仪通道01,原始分析仪测点01,state,float,percent,false,analyzer_01,0,100
reboiler_temperature_rise,再沸器温升,再沸器温度变化量,state,float,degC,false,reb_temp_rise,-100,200
reboiler_temperature_average,再沸器平均温度,再沸器平均温度,state,float,degC,true,reb_temp_avg,-50,700
reboiler_temperature_inverse,再沸器温度逆变换,再沸器温度逆变换特征,state,float,ratio,false,inv_reb_temp,0,20
feed_temperature_inverse,进料温度逆变换,进料温度逆变换特征,state,float,ratio,false,inv_feed_temp,0,20
bottom_temperature_inverse,塔底温度逆变换,塔底温度逆变换特征,state,float,ratio,false,inv_bot_temp,0,20
condenser_pressure_inverse,冷凝压力逆变换,冷凝压力逆变换特征,state,float,ratio,true,inv_cond_pres,0,20
antoine_pressure_estimate,Antoine压力估计,Antoine方程产生的蒸气压估计,state,float,kPa,true,antoine_estimate,0,5000
current_pressure_estimate,当前压力估计,当前估计器输出,state,float,kPa,true,current_estimator,0,5000
vapour_pressure_kpa,实测蒸气压力,蒸气压力监督目标,controlled,float,kPa,true,vapour_pressure_kpa|vapor_pressure_kpa,0,5000
