text,scenario_id,standard_name,relevance,role,unit,source,group_id,split
DCS_交换机端口状态_25,blast_furnace,__irrelevant__,irrelevant,none,,negative_vendor,5cfb8a55ae993bfe,train
DCS_会议室预约状态_25,blast_furnace,__irrelevant__,irrelevant,none,,negative_vendor,9a378dd918d56b5d,train
DCS_值班员电子签名_25,blast_furnace,__irrelevant__,irrelevant,none,,negative_vendor,e2da23fd8f394b06,train
DCS_办公室温度_25,blast_furnace,__irrelevant__,irrelevant,none,,negative_vendor,8d94519d98cad979,train
DCS_厂区门禁记录_25,blast_furnace,__irrelevant__,irrelevant,none,,negative_vendor,5dedc0d135217b78,train
DCS_厂商备用测点_25,blast_furnace,__irrelevant__,irrelevant,none,,negative_vendor,8463891f42b1a3d1,train
DCS_工单审批人_25,blast_furnace,__irrelevant__,irrelevant,none,,negative_vendor,eec5990ff7dd7ebf,train
DCS_打印机墨粉余量_25,blast_furnace,__irrelevant__,irrelevant,none,,negative_vendor,3b18c16422f84439,train
DCS_报表序号_25,blast_furnace,__irrelevant__,irrelevant,none,,negative_vendor,7630c4f35f4c1d11,train
DCS_报表模板编号_25,blast_furnace,__irrelevant__,irrelevant,none,,negative_vendor,562ef0f951a6a5c7,train
DCS_报警文本_25,blast_furnace,__irrelevant__,irrelevant,none,,negative_vendor,41226548565db31b,train
DCS_文件上传时间_25,blast_furnace,__irrelevant__,irrelevant,none,,negative_vendor,2e3cfeb82b1b8695,train
DCS_日报打印次数_25,blast_furnace,__irrelevant__,irrelevant,none,,negative_vendor,e12eb8d924dc560c,train
DCS_班车到站时间_25,blast_furnace,__irrelevant__,irrelevant,none,,negative_vendor,e7b0faf1b2164fee,train
DCS_画面刷新周期_25,blast_furnace,__irrelevant__,irrelevant,none,,negative_vendor,e0fe62c60892aa97,train
DCS_画面颜色_25,blast_furnace,__irrelevant__,irrelevant,none,,negative_vendor,02acb859def2253e,train
DCS_网络往返时延_25,blast_furnace,__irrelevant__,irrelevant,none,,negative_vendor,d0c79e16c639920b,train
DCS_设备描述_25,blast_furnace,__irrelevant__,irrelevant,none,,negative_vendor,2a6fbd89cfbd3682,train
DCS_账户登录次数_25,blast_furnace,__irrelevant__,irrelevant,none,,negative_vendor,fac27f0a9f845ba6,train
DCS_通讯状态字_25,blast_furnace,__irrelevant__,irrelevant,none,,negative_vendor,dab1638f9342b7d7,train
DCS_鼠标点击计数_25,blast_furnace,__irrelevant__,irrelevant,none,,negative_vendor,70feb61c6c8b9343,train
HMI.60.交换机端口状态.RAW,blast_furnace,__irrelevant__,irrelevant,none,,negative_vendor,5cfb8a55ae993bfe,train
HMI.60.会议室预约状态.RAW,blast_furnace,__irrelevant__,irrelevant,none,,negative_vendor,9a378dd918d56b5d,train
HMI.60.值班员电子签名.RAW,blast_furnace,__irrelevant__,irrelevant,none,,negative_vendor,e2da23fd8f394b06,train
HMI.60.办公室温度.RAW,blast_furnace,__irrelevant__,irrelevant,none,,negative_vendor,8d94519d98cad979,train
HMI.60.厂区门禁记录.RAW,blast_furnace,__irrelevant__,irrelevant,none,,negative_vendor,5dedc0d135217b78,train
