text,scenario_id,standard_name,relevance,role,unit,source,group_id,split,training_angle
2号线_CALCINER_COAL_测点A12,cement_rotary_kiln,calciner_coal_feed,useful,manipulated,t/h,multi_angle:equipment_channel_context,5236e2bffcdfb8c2,external_train,equipment_channel_context
2号线_calciner_coal_feed_测点A12,cement_rotary_kiln,calciner_coal_feed,useful,manipulated,t/h,multi_angle:equipment_channel_context,a4bca34ab31e9888,external_train,equipment_channel_context
2号线_分解炉喂煤量_测点A12,cement_rotary_kiln,calciner_coal_feed,useful,manipulated,t/h,multi_angle:equipment_channel_context,4fc16f4ab732ba29,external_train,equipment_channel_context
2号线_分解炉煤量_测点A12,cement_rotary_kiln,calciner_coal_feed,useful,manipulated,t/h,multi_angle:equipment_channel_context,b9ace2e88cf6023a,external_train,equipment_channel_context
CALCINER.COAL,cement_rotary_kiln,calciner_coal_feed,useful,manipulated,t/h,multi_angle:separator_noise,3b1e1fc16874ce08,external_train,separator_noise
CALCINER_COAL(t/h),cement_rotary_kiln,calciner_coal_feed,useful,manipulated,t/h,multi_angle:unit_parenthesis,29ea9b0bfaefcd1b,external_train,unit_parenthesis
CALCINER_COAL__t/h__AI,cement_rotary_kiln,calciner_coal_feed,useful,manipulated,t/h,multi_angle:unit_channel_mix,441887e64688c1e3,external_train,unit_channel_mix
DCS-A-CALCINER_COAL-PV-07,cement_rotary_kiln,calciner_coal_feed,useful,manipulated,t/h,multi_angle:dcs_vendor_envelope,2794e2a33fa95fc3,external_train,dcs_vendor_envelope
DCS-A-calciner_coal_feed-PV-07,cement_rotary_kiln,calciner_coal_feed,useful,manipulated,t/h,multi_angle:dcs_vendor_envelope,c65c71389f7f1aca,external_train,dcs_vendor_envelope
DCS-A-分解炉喂煤量-PV-07,cement_rotary_kiln,calciner_coal_feed,useful,manipulated,t/h,multi_angle:dcs_vendor_envelope,1fa12c1690cad34f,external_train,dcs_vendor_envelope
DCS-A-分解炉煤量-PV-07,cement_rotary_kiln,calciner_coal_feed,useful,manipulated,t/h,multi_angle:dcs_vendor_envelope,021ce5422ef192b4,external_train,dcs_vendor_envelope
PLC01.CALCINER_COAL.VALUE,cement_rotary_kiln,calciner_coal_feed,useful,manipulated,t/h,multi_angle:plc_vendor_envelope,c0e5326d1dab1174,external_train,plc_vendor_envelope
PLC01.calciner_coal_feed.VALUE,cement_rotary_kiln,calciner_coal_feed,useful,manipulated,t/h,multi_angle:plc_vendor_envelope,775cc40f48874dc9,external_train,plc_vendor_envelope
PLC01.分解炉喂煤量.VALUE,cement_rotary_kiln,calciner_coal_feed,useful,manipulated,t/h,multi_angle:plc_vendor_envelope,46bfd9eb9280d594,external_train,plc_vendor_envelope
PLC01.分解炉煤量.VALUE,cement_rotary_kiln,calciner_coal_feed,useful,manipulated,t/h,multi_angle:plc_vendor_envelope,25728ee237a144b2,external_train,plc_vendor_envelope
calciner.coal.feed,cement_rotary_kiln,calciner_coal_feed,useful,manipulated,t/h,multi_angle:separator_noise,e6c2b3adfc329721,external_train,separator_noise
calciner_coal_feed(t/h),cement_rotary_kiln,calciner_coal_feed,useful,manipulated,t/h,multi_angle:unit_parenthesis,d45deeeb6b3f1053,external_train,unit_parenthesis
calciner_coal_feed__t/h__AI,cement_rotary_kiln,calciner_coal_feed,useful,manipulated,t/h,multi_angle:unit_channel_mix,e913e2d996b591c2,external_train,unit_channel_mix
calciner_coal_feed_raw,cement_rotary_kiln,calciner_coal_feed,useful,manipulated,t/h,multi_angle:case_and_suffix_noise,dc8abd4e2d05c5c6,external_train,case_and_suffix_noise
calciner_coal_raw,cement_rotary_kiln,calciner_coal_feed,useful,manipulated,t/h,multi_angle:case_and_suffix_noise,4a1bedeb69dfc15c,external_train,case_and_suffix_noise
分解炉喂煤量,cement_rotary_kiln,calciner_coal_feed,useful,manipulated,t/h,multi_angle:separator_noise,5b47296b457db015,external_train,separator_noise
分解炉喂煤量(t/h),cement_rotary_kiln,calciner_coal_feed,useful,manipulated,t/h,multi_angle:unit_parenthesis,f361c5b4431c8c58,external_train,unit_parenthesis
分解炉喂煤量__t/h__AI,cement_rotary_kiln,calciner_coal_feed,useful,manipulated,t/h,multi_angle:unit_channel_mix,6ad0ae931ed556a8,external_train,unit_channel_mix
分解炉喂煤量_raw,cement_rotary_kiln,calciner_coal_feed,useful,manipulated,t/h,multi_angle:case_and_suffix_noise,9eb91d714ecb86a6,external_train,case_and_suffix_noise
分解炉煤量,cement_rotary_kiln,calciner_coal_feed,useful,manipulated,t/h,multi_angle:separator_noise,16d5301633fed5f4,external_train,separator_noise
分解炉煤量(t/h),cement_rotary_kiln,calciner_coal_feed,useful,manipulated,t/h,multi_angle:unit_parenthesis,d668f72e40a918b2,external_train,unit_parenthesis
分解炉煤量__t/h__AI,cement_rotary_kiln,calciner_coal_feed,useful,manipulated,t/h,multi_angle:unit_channel_mix,b17eab27ed90ae5c,external_train,unit_channel_mix
分解炉煤量_raw,cement_rotary_kiln,calciner_coal_feed,useful,manipulated,t/h,multi_angle:case_and_suffix_noise,3c931895d03986e1,external_train,case_and_suffix_noise
2号线_CLINKER_FCAO_测点A12,cement_rotary_kiln,clinker_free_lime,required,controlled,percent,multi_angle:equipment_channel_context,eab732285a12d153,external_train,equipment_channel_context
2号线_FREE_LIME_测点A12,cement_rotary_kiln,clinker_free_lime,required,controlled,percent,multi_angle:equipment_channel_context,ecba13a9a12d9275,external_train,equipment_channel_context
2号线_clinker_free_lime_测点A12,cement_rotary_kiln,clinker_free_lime,required,controlled,percent,multi_angle:equipment_channel_context,86d7a41140adef33,external_train,equipment_channel_context
2号线_游离钙_测点A12,cement_rotary_kiln,clinker_free_lime,required,controlled,percent,multi_angle:equipment_channel_context,c077ed76f8ab83ec,external_train,equipment_channel_context
2号线_熟料游离钙_测点A12,cement_rotary_kiln,clinker_free_lime,required,controlled,percent,multi_angle:equipment_channel_context,fab1652adb0bd101,external_train,equipment_channel_context
