column,actuator,raw_tag,variable_symbol,description,range,unit,target_scenario,target_standard_name,review_status
1,1,-,timestamp,Time stamp,0-86399,s,,,external_only
2,1,P51_05,P1,juice pressure (valve inlet),0-1000,kPa,,,external_only
3,1,P51_06,P2,juice pressure (valve outlet),0-1000,kPa,,,external_only
4,1,T51_01,T,juice temperature (valve outlet),50-150,degC,,,external_only
5,1,F51_01,F,juice flow (1st evaporator inlet),0-500,m3/h,,,external_only
6,1,LC51_03CV,CV,control value (controller output),0-100,percent,,,external_only
7,1,LC51_03X,X,servomotor rod displacement,0-100,percent,,,external_only
8,1,LC51_03PV,PV,juice level in 1st evaporator,0-100,percent,,,external_only
9,1,TC51_05,temperature,juice temperature (1st evaporator inlet),50-150,degC,,,external_only
10,1,T51_08,temperature,juice temperature (1st evaporator outlet),50-150,degC,,,external_only
11,1,D51_01,density,juice density (1st evaporator inlet),0-25,Bx,,,external_only
12,1,D51_02,density,juice density (1st evaporator outlet),13-41,Bx,,,external_only
13,1,F51_02,steam_flow,steam flow,1-100,t/h,,,external_only
14,1,PC51_01,steam_pressure,steam pressure,100-300,kPa,,,external_only
15,1,T51_06,steam_temperature,steam temperature,50-150,degC,,,external_only
16,1,P51_03,vapour_pressure,vapour pressure,0-250,kPa,,,external_only
17,1,T51_07,vapour_temperature,vapour temperature,50-150,degC,,,external_only
18,2,P57_03,P1,juice pressure (valve inlet),0-1000,kPa,,,external_only
19,2,P57_04,P2,juice pressure (valve outlet),0-1000,kPa,,,external_only
20,2,T57_03,T,juice temperature (valve inlet),0-150,degC,,,external_only
21,2,FC57_03PV,PV,juice flow (5th evaporator outlet),0-100,m3/h,,,external_only
22,2,FC57_03CV,CV,control value (controller output),0-100,percent,,,external_only
23,2,FC57_03X,X,servomotor rod displacement,0-100,percent,,,external_only
24,3,P74_00,P1,water pressure (valve inlet),0-4000,kPa,,,external_only
25,3,P74_01,P2,water pressure (valve outlet),0-4000,kPa,,,external_only
26,3,T74_00,T,water temperature (valve outlet),0-150,degC,,,external_only
27,3,F74_00,F,water flow (steam boiler inlet),0-40,t/h,thermal_power_boiler,feedwater_flow,approved
28,3,LC74_20CV,CV,control value (controller output),0-100,percent,,,external_only
29,3,LC74_20X,X,servomotor rod displacement,0-100,percent,,,external_only
30,3,LC74_20PV,PV,water level in steam boiler,0-100,percent,thermal_power_boiler,drum_level,review
31,3,F74_30,steam_flow,steam flow (steam boiler outlet),0-40,t/h,thermal_power_boiler,main_steam_flow,approved
32,3,P74_30,steam_pressure,steam pressure (steam boiler outlet),0-4000,kPa,thermal_power_boiler,main_steam_pressure,approved
33,3,T74_30,steam_temperature,steam temperature (steam boiler outlet),0-550,degC,thermal_power_boiler,main_steam_temperature,approved
