raw,standard,display_name,role,detected_unit,expected_unit,confidence,method,status
timestamp,timestamp,时间戳,time,,datetime,1.0,alias,matched
P74_00,main_steam_pressure,主蒸汽压力,controlled,,Pa,0.96,vendor_core_alias,duplicate
P74_01,main_steam_pressure,主蒸汽压力,controlled,,Pa,0.96,vendor_core_alias,duplicate
T74_00,main_steam_temperature,主蒸汽温度,controlled,,degC,0.96,vendor_core_alias,duplicate
F74_00,feedwater_flow,给水流量,manipulated,,t/h,1.0,alias,matched
LC74_20CV,feedwater_flow,给水流量,manipulated,,t/h,0.739,trained_model,duplicate
LC74_20X,feedwater_flow,给水流量,manipulated,,t/h,0.74,trained_model,duplicate
LC74_20PV,main_steam_pressure,主蒸汽压力,controlled,,Pa,0.73,trained_model,duplicate
F74_30,main_steam_flow,主蒸汽流量,state,,t/h,1.0,alias,matched
P74_30,main_steam_pressure,主蒸汽压力,controlled,,Pa,1.0,alias,matched
T74_30,main_steam_temperature,主蒸汽温度,controlled,,degC,1.0,alias,matched
