text,scenario_id,scenario_name,split
统一水泥历史数据字段,cement_rotary_kiln,水泥回转窑,train
识别这批水泥DCS测点,cement_rotary_kiln,水泥回转窑,test
判断水泥数据是否满足建模字段要求,cement_rotary_kiln,水泥回转窑,test
把水泥变量转换成标准格式,cement_rotary_kiln,水泥回转窑,validation
检查水泥文件缺少哪些必需字段,cement_rotary_kiln,水泥回转窑,test
这是水泥运行数据,cement_rotary_kiln,水泥回转窑,train
统一回转窑历史数据字段,cement_rotary_kiln,水泥回转窑,train
识别这批回转窑DCS测点,cement_rotary_kiln,水泥回转窑,test
判断回转窑数据是否满足建模字段要求,cement_rotary_kiln,水泥回转窑,validation
把回转窑变量转换成标准格式,cement_rotary_kiln,水泥回转窑,train
检查回转窑文件缺少哪些必需字段,cement_rotary_kiln,水泥回转窑,validation
这是回转窑运行数据,cement_rotary_kiln,水泥回转窑,train
统一熟料历史数据字段,cement_rotary_kiln,水泥回转窑,validation
识别这批熟料DCS测点,cement_rotary_kiln,水泥回转窑,train
判断熟料数据是否满足建模字段要求,cement_rotary_kiln,水泥回转窑,test
把熟料变量转换成标准格式,cement_rotary_kiln,水泥回转窑,train
检查熟料文件缺少哪些必需字段,cement_rotary_kiln,水泥回转窑,train
这是熟料运行数据,cement_rotary_kiln,水泥回转窑,validation
统一分解炉历史数据字段,cement_rotary_kiln,水泥回转窑,validation
识别这批分解炉DCS测点,cement_rotary_kiln,水泥回转窑,train
判断分解炉数据是否满足建模字段要求,cement_rotary_kiln,水泥回转窑,validation
把分解炉变量转换成标准格式,cement_rotary_kiln,水泥回转窑,validation
检查分解炉文件缺少哪些必需字段,cement_rotary_kiln,水泥回转窑,train
这是分解炉运行数据,cement_rotary_kiln,水泥回转窑,train
统一预热器历史数据字段,cement_rotary_kiln,水泥回转窑,train
识别这批预热器DCS测点,cement_rotary_kiln,水泥回转窑,test
判断预热器数据是否满足建模字段要求,cement_rotary_kiln,水泥回转窑,train
把预热器变量转换成标准格式,cement_rotary_kiln,水泥回转窑,train
检查预热器文件缺少哪些必需字段,cement_rotary_kiln,水泥回转窑,validation
这是预热器运行数据,cement_rotary_kiln,水泥回转窑,train
统一kiln历史数据字段,cement_rotary_kiln,水泥回转窑,test
识别这批kilnDCS测点,cement_rotary_kiln,水泥回转窑,train
判断kiln数据是否满足建模字段要求,cement_rotary_kiln,水泥回转窑,test
把kiln变量转换成标准格式,cement_rotary_kiln,水泥回转窑,train
检查kiln文件缺少哪些必需字段,cement_rotary_kiln,水泥回转窑,train
这是kiln运行数据,cement_rotary_kiln,水泥回转窑,test
统一化工历史数据字段,distillation_column,化工精馏塔,train
识别这批化工DCS测点,distillation_column,化工精馏塔,train
判断化工数据是否满足建模字段要求,distillation_column,化工精馏塔,test
把化工变量转换成标准格式,distillation_column,化工精馏塔,test
检查化工文件缺少哪些必需字段,distillation_column,化工精馏塔,train
这是化工运行数据,distillation_column,化工精馏塔,test
