text,scenario_id,standard_name,relevance,role,unit,source,group_id,split,source_id,source_url
fuel flow rate,steel_reheating_furnace,gas_flow,required,manipulated,Nm3/h,web_approved:steel_furnace_mpc_2023:web_phrase,543bd3090334d51a,external_train,steel_furnace_mpc_2023,https://pmc.ncbi.nlm.nih.gov/articles/PMC10141550/
fuel_flow_rate,steel_reheating_furnace,gas_flow,required,manipulated,Nm3/h,web_approved:steel_furnace_mpc_2023:web_normalized,543bd3090334d51a,external_train,steel_furnace_mpc_2023,https://pmc.ncbi.nlm.nih.gov/articles/PMC10141550/
FUEL_FLOW_RATE,steel_reheating_furnace,gas_flow,required,manipulated,Nm3/h,web_approved:steel_furnace_mpc_2023:web_uppercase,543bd3090334d51a,external_train,steel_furnace_mpc_2023,https://pmc.ncbi.nlm.nih.gov/articles/PMC10141550/
fuelflowrate,steel_reheating_furnace,gas_flow,required,manipulated,Nm3/h,web_approved:steel_furnace_mpc_2023:web_compact,543bd3090334d51a,external_train,steel_furnace_mpc_2023,https://pmc.ncbi.nlm.nih.gov/articles/PMC10141550/
DCS_02_fuel_flow_rate_SP_11,steel_reheating_furnace,gas_flow,required,manipulated,Nm3/h,web_approved:steel_furnace_mpc_2023:web_vendor_tag,543bd3090334d51a,external_train,steel_furnace_mpc_2023,https://pmc.ncbi.nlm.nih.gov/articles/PMC10141550/
Unit3.fuel_flow_rate.AI,steel_reheating_furnace,gas_flow,required,manipulated,Nm3/h,web_approved:steel_furnace_mpc_2023:web_channel_tag,543bd3090334d51a,external_train,steel_furnace_mpc_2023,https://pmc.ncbi.nlm.nih.gov/articles/PMC10141550/
fuel flow rate[Nm3/h],steel_reheating_furnace,gas_flow,required,manipulated,Nm3/h,web_approved:steel_furnace_mpc_2023:web_unit_bracket,543bd3090334d51a,external_train,steel_furnace_mpc_2023,https://pmc.ncbi.nlm.nih.gov/articles/PMC10141550/
zone fuel flow,steel_reheating_furnace,gas_flow,required,manipulated,Nm3/h,web_approved:steel_furnace_mpc_2023:web_phrase,e950f584a24cdd5d,external_train,steel_furnace_mpc_2023,https://pmc.ncbi.nlm.nih.gov/articles/PMC10141550/
zone_fuel_flow,steel_reheating_furnace,gas_flow,required,manipulated,Nm3/h,web_approved:steel_furnace_mpc_2023:web_normalized,e950f584a24cdd5d,external_train,steel_furnace_mpc_2023,https://pmc.ncbi.nlm.nih.gov/articles/PMC10141550/
ZONE_FUEL_FLOW,steel_reheating_furnace,gas_flow,required,manipulated,Nm3/h,web_approved:steel_furnace_mpc_2023:web_uppercase,e950f584a24cdd5d,external_train,steel_furnace_mpc_2023,https://pmc.ncbi.nlm.nih.gov/articles/PMC10141550/
