采集时间,GAS_FLOW_NM3H,助燃风量[Nm3/h],ZONE1_TEMP_C,二段炉温(℃),均热段温度(°F),WALKING_BEAM_SPEED,入炉温度,SLAB_OUT_TEMP_C,炉压(kPa),O2_PERCENT,板坯厚度,THROUGHPUT,厂商临时标签
2026-08-21 08:00:00,24062.591,43465.832,928.291,1118.637,2256.144,1.1888,171.724,1159.898,0.00492,3.198,180,168.939,BATCH-001
2026-08-21 08:01:00,24201.198,43501.163,926.137,1118.446,2254.906,1.1903,171.46,1159.526,0.00565,3.141,180,167.952,BATCH-001
2026-08-21 08:02:00,24206.903,43543.444,926.228,1118.429,2254.311,1.2151,171.872,1158.148,0.00648,3.187,180,168.63,BATCH-001
2026-08-21 08:03:00,24188.073,43269.388,924.984,1117.845,2255.31,1.206,172.047,1158.45,0.00586,3.011,180,171.772,BATCH-001
2026-08-21 08:04:00,24285.463,43543.925,923.954,1118.373,2253.705,1.1817,170.587,1158.475,0.00704,3.1,180,168.434,BATCH-001
2026-08-21 08:05:00,24214.834,43930.562,923.473,1118.791,2253.061,1.2172,172.366,1158.601,0.00561,3.165,180,169.333,BATCH-001
2026-08-21 08:06:00,24271.566,43960.423,923.18,1118.525,2255.121,1.2276,172.32,1158.751,0.00431,3.206,180,171.085,BATCH-001
2026-08-21 08:07:00,24262.885,43399.371,921.565,1118.33,2255.575,1.2019,175.243,1158.831,0.00532,3.026,180,167.483,BATCH-001
2026-08-21 08:08:00,24373.337,43604.576,921.888,1118.513,2257.043,1.233,174.199,1158.208,0.00529,3.048,180,169.307,BATCH-001
2026-08-21 08:09:00,24429.124,43949.891,920.401,1117.995,2256.847,1.2343,172.918,1157.971,0.0048,3.029,180,166.829,BATCH-001
2026-08-21 08:10:00,24136.937,43337.439,920.371,1117.814,2257.436,1.2212,174.772,1157.754,0.00641,3.149,180,170.322,BATCH-001
2026-08-21 08:11:00,24402.901,43546.76,920.764,1117.052,2258.976,1.1998,173.121,1157.263,0.00568,3.067,180,172.001,BATCH-001
2026-08-21 08:12:00,24377.266,44284.905,919.934,1117.473,2260.894,1.217,173.408,1157.118,0.00619,3.181,180,170.491,BATCH-001
2026-08-21 08:13:00,24470.466,44100.854,919.233,1117.068,2260.058,1.2278,173.996,1157.258,0.00592,3.156,180,170.541,BATCH-001
2026-08-21 08:14:00,24396.164,43765.624,919.885,1118.238,2259.365,1.2074,173.542,1157.229,0.00563,3.079,180,172.094,BATCH-001
2026-08-21 08:15:00,24406.923,43637.454,919.948,1119.054,2259.517,1.2176,173.673,1157.34,0.00598,3.019,180,171.048,BATCH-001
2026-08-21 08:16:00,24368.114,43775.428,919.233,1118.86,2260.51,1.2249,174.379,1157.652,0.00513,3.153,180,169.574,BATCH-001
