采集时间,GAS_FLOW_NM3H,助燃风量[Nm3/h],ZONE1_TEMP_C,二段炉温(℃),均热段温度(°F),WALKING_BEAM_SPEED,入炉温度,SLAB_OUT_TEMP_C,炉压(kPa),O2_PERCENT,板坯厚度,THROUGHPUT,厂商临时标签
2026-08-27 08:00:00,26776.588,47311.651,930.014,1120.442,2256.802,1.3529,172.135,1158.911,0.00491,2.929,180,169.425,BATCH-001
2026-08-27 08:01:00,26819.893,46736.684,931.222,1121.828,2258.287,1.3538,173.837,1158.479,0.00496,2.822,180,169.851,BATCH-001
2026-08-27 08:02:00,26810.146,48106.982,932.607,1123.029,2257.614,1.3633,172.237,1157.78,0.00599,3.031,180,168.997,BATCH-001
2026-08-27 08:03:00,26989.736,46865.879,931.756,1124.526,2258.662,1.3727,172.853,1157.469,0.00548,2.783,180,168.519,BATCH-001
2026-08-27 08:04:00,26909.918,48435.623,931.942,1125.576,2259.383,1.3659,175.561,1157.48,0.00549,3.169,180,169.648,BATCH-001
2026-08-27 08:05:00,26893.317,47089.256,931.646,1126.754,2261.25,1.3768,170.737,1157.639,0.00556,2.912,180,171.56,BATCH-001
2026-08-27 08:06:00,26896.423,47672.483,932.969,1126.723,2261.926,1.3687,172.813,1157.712,0.00605,3,180,171.1,BATCH-001
2026-08-27 08:07:00,26932.092,47895.553,932.922,1127.306,2263.464,1.3825,172.425,1157.695,0.00555,2.965,180,170.275,BATCH-001
2026-08-27 08:08:00,26972.051,48235.129,932.828,1127.505,2264.285,1.3608,172.163,1158.173,0.00571,3.111,180,172.746,BATCH-001
2026-08-27 08:09:00,26849.39,48536.164,931.46,1128.005,2264.833,1.3691,169.52,1158.275,0.00719,3.13,180,169.494,BATCH-001
2026-08-27 08:10:00,26941.07,47998.781,931.132,1127.16,2265.611,1.3479,175.043,1157.772,0.00544,3.044,180,171.139,BATCH-001
2026-08-27 08:11:00,26900.417,47902.64,932.607,1128.009,2266.727,1.351,173.283,1158.607,0.00614,3.065,180,171.349,BATCH-001
2026-08-27 08:12:00,26859.624,47783.819,931.881,1129.059,2266.813,1.3706,171.746,1158,0.00758,3.111,180,171.337,BATCH-001
2026-08-27 08:13:00,27072.253,48141.687,931.35,1129.047,2267.101,1.3772,170.641,1157.693,0.00547,3.087,180,169.679,BATCH-001
2026-08-27 08:14:00,26905.73,47058.278,932.631,1129.063,2267.138,1.3786,172.231,1158.022,0.0054,2.965,180,169.092,BATCH-001
2026-08-27 08:15:00,26953.853,48257.668,932,1127.878,2268.551,1.3878,172.582,1157.52,0.00664,3.011,180,171.272,BATCH-001
2026-08-27 08:16:00,26989.282,47145.348,931.988,1129.229,2268.395,1.3922,173.115,1157.978,0.00558,2.915,180,171.75,BATCH-001
2026-08-27 08:17:00,27036.048,47887.603,931.925,1129.467,2268.3,1.3756,172.355,1157.705,0.00503,2.972,180,169.166,BATCH-001
2026-08-27 08:18:00,27012.048,47218.38,933.448,1128.181,2268.806,1.3949,175.281,1157.593,0.00719,2.897,180,172.185,BATCH-001
2026-08-27 08:19:00,27021.546,48133.669,933.595,1128.62,2269.418,1.3864,171.876,1157.398,0.00792,3.109,180,170.646,BATCH-001
2026-08-27 08:20:00,27127.673,47295.876,935.376,1128.315,2270.538,1.3867,172.874,1158.096,0.00471,2.896,180,171.629,BATCH-001
2026-08-27 08:21:00,26994.928,46840.698,936.512,1129.238,2270.71,1.3928,175.117,1158.51,0.00599,2.866,180,171.037,BATCH-001
2026-08-27 08:22:00,27091.677,48453.998,935.897,1130.369,2273.046,1.3667,175.3,1158.745,0.00604,3.114,180,168.333,BATCH-001
2026-08-27 08:23:00,26902.652,48006.181,935.56,1129.158,2273.093,1.3842,172.719,1158.335,0.00635,2.961,180,171.225,BATCH-001
2026-08-27 08:24:00,27041.455,47811.566,934.715,1128.403,2272.993,1.3869,174.228,1158.102,0.00698,2.974,180,169.192,BATCH-001
2026-08-27 08:25:00,26943.052,48072.764,936.895,1128.814,2271.596,1.4031,174.982,1158.678,0.00548,3.069,180,169.543,BATCH-001
2026-08-27 08:26:00,26976.278,47940.052,935.991,1128.695,2271.024,1.39,174.39,1158.606,0.00472,3.077,180,171.657,BATCH-001
2026-08-27 08:27:00,27046.336,48138.249,935.08,1128.862,2271.309,1.4006,174.467,1158.598,0.00579,3.074,180,171.82,BATCH-001
2026-08-27 08:28:00,27017.294,48658.59,936.209,1128.901,2272.424,1.3718,175.981,1158.611,0.00688,3.184,180,167.825,BATCH-001
2026-08-27 08:29:00,27004.588,47753.098,937.121,1128.4,2271.829,1.399,174.603,1159.01,0.00661,3.046,180,170.277,BATCH-001
2026-08-27 08:30:00,27017.524,47441.467,937.118,1128.337,2272.173,1.3808,172.457,1159.45,0.00596,2.991,180,169.641,BATCH-001
2026-08-27 08:31:00,26991.771,47410.428,936.766,1129.248,2272.76,1.4012,174.275,1159.069,0.00714,2.905,180,170.808,BATCH-001
2026-08-27 08:32:00,27211.868,47605.629,937.191,1130.047,2271.818,1.3924,174.738,1159.521,0.0064,2.854,180,171.491,BATCH-001
2026-08-27 08:33:00,27043.719,47456.011,937.263,1129.98,2271.685,1.373,176.635,1159.612,0.00651,2.935,180,170.435,BATCH-001
2026-08-27 08:34:00,27177.099,47730.678,938.674,1129.341,2273.825,1.3989,173.806,1159.397,0.00652,3.023,180,170.519,BATCH-001
2026-08-27 08:35:00,27058.146,48088.278,939.354,1129.528,2271.74,1.4053,173.696,1160.308,0.00675,2.978,180,169.801,BATCH-001
2026-08-27 08:36:00,27131.869,48233.874,939.134,1128.629,2273.166,1.3916,178.104,1161.063,0.00606,2.932,180,169.288,BATCH-001
2026-08-27 08:37:00,27054.64,48153.318,938.332,1127.949,2273.781,1.4076,174.933,1161.487,0.0053,3.12,180,170.729,BATCH-001
2026-08-27 08:38:00,27156.702,48685.132,938.015,1129.035,2273.815,1.3964,178.34,1161.975,0.00615,3.103,180,170.461,BATCH-001
2026-08-27 08:39:00,27174.665,47944.875,939.49,1129.556,2275.814,1.3965,176.485,1161.727,0.0055,2.969,180,170.121,BATCH-001
2026-08-27 08:40:00,27194.003,47807.025,938.005,1128.935,2276.883,1.4024,176.083,1161.731,0.00634,2.984,180,170.633,BATCH-001
2026-08-27 08:41:00,27291.56,47511.851,938.12,1129.322,2276.137,1.4233,176.552,1162.116,0.00611,2.786,180,170.58,BATCH-001
2026-08-27 08:42:00,27178.048,47072.285,938.288,1128.944,2275.55,1.4153,172.765,1161.575,0.00608,2.822,180,171.958,BATCH-001
2026-08-27 08:43:00,27140.544,47455.804,938.895,1129.724,2275.093,1.4122,175.398,1161.571,0.00577,2.928,180,173.521,BATCH-001
2026-08-27 08:44:00,27034.993,48603.798,939.425,1129.991,2274.56,1.4037,176.28,1161.406,0.00624,3.038,180,173.315,BATCH-001
2026-08-27 08:45:00,27228.707,47513.45,939.678,1131.509,2272.892,1.4123,175.347,1161.488,0.00605,2.835,180,169.981,BATCH-001
2026-08-27 08:46:00,27072.867,48467.109,938.793,1131.453,2273.734,1.3894,176.785,1161.428,0.00608,3.085,180,171.035,BATCH-001
2026-08-27 08:47:00,27145.02,47389.163,938.97,1131.389,2272.666,1.4178,174.188,1161.569,0.00542,2.949,180,167.181,BATCH-001
2026-08-27 08:48:00,27071.579,47187.919,938.057,1130.888,2273.703,1.4106,175.3,1162.13,0.00627,2.929,180,172.606,BATCH-001
2026-08-27 08:49:00,27250.326,47322.473,939.617,1131.206,2275.323,1.4034,173.971,1162.456,0.00526,2.885,180,172.015,BATCH-001
2026-08-27 08:50:00,27192.91,47634.587,938.88,1130.728,2274.699,1.3967,177.106,1162.985,0.00588,2.925,180,170.471,BATCH-001
2026-08-27 08:51:00,27117.347,47618.066,938.143,1130.358,2276.067,1.4148,174.41,1162.992,0.00534,2.886,180,169.367,BATCH-001
2026-08-27 08:52:00,27200.521,47433.129,938.129,1130.874,2276.087,1.4199,178.547,1162.902,0.00541,2.925,180,169.238,BATCH-001
2026-08-27 08:53:00,27220.681,47113.288,938.602,1130.573,2276.076,1.4068,177.28,1162.878,0.00685,2.889,180,168.419,BATCH-001
2026-08-27 08:54:00,27239.946,47952.219,938.37,1131.311,2276.525,1.4073,178.03,1162.926,0.00524,2.993,180,169.381,BATCH-001
2026-08-27 08:55:00,27116.801,48113.14,938.161,1131.035,2276.95,1.4048,177.62,1162.461,0.00639,3.028,180,173.145,BATCH-001
2026-08-27 08:56:00,27318.598,47613.186,938.471,1131.698,2274.887,1.4107,176.026,1162.043,0.00717,2.929,180,172.197,BATCH-001
2026-08-27 08:57:00,27134.057,47857.781,939.546,1131.944,2275.885,1.4151,176.929,1162.66,0.00495,2.964,180,173.19,BATCH-001
2026-08-27 08:58:00,27175.765,47392.518,937.888,1131.396,2275.371,1.409,177.265,1163.069,0.00541,3.005,180,169.823,BATCH-001
2026-08-27 08:59:00,27332.675,48942.528,938.75,1131.959,2274.914,1.4251,178.771,1162.849,0.00644,3.104,180,171.87,BATCH-001
2026-08-27 09:00:00,27192.611,47304.36,940.157,1131.789,2275.615,1.4159,177.542,1162.706,0.00755,2.86,180,168.501,BATCH-002
2026-08-27 09:01:00,27374.759,48020.354,940.665,1131.409,2276.041,1.4207,177.772,1163.031,0.00718,2.996,180,169.519,BATCH-002
2026-08-27 09:02:00,27092.177,47525.515,939.484,1132.209,2276.075,1.4259,176.913,1162.732,0.00612,2.929,180,171.344,BATCH-002
2026-08-27 09:03:00,27174.288,48189.39,937.646,1130.927,2275.849,1.4231,177.22,1163.385,0.00488,2.95,180,172.175,BATCH-002
2026-08-27 09:04:00,27239.382,47970.442,938.78,1131.343,2277.106,1.4144,177.499,1163.15,0.00554,2.919,180,169.936,BATCH-002
2026-08-27 09:05:00,27287.117,48085.425,938.692,1130.721,2275.884,1.4162,175.864,1163.133,0.00617,3.005,180,171.403,BATCH-002
2026-08-27 09:06:00,27081.018,47821.258,939.727,1130.356,2275.152,1.4278,179.081,1163.615,0.00564,3.006,180,170.257,BATCH-002
2026-08-27 09:07:00,27350.978,47711.903,939.733,1130.7,2276.694,1.4005,178.919,1163.632,0.00407,2.858,180,172.728,BATCH-002
2026-08-27 09:08:00,27225.756,48487.737,940.071,1131.62,2275.867,1.4213,176.903,1163.951,0.00615,3.024,180,171.778,BATCH-002
2026-08-27 09:09:00,27125.48,47819.928,940.124,1130.753,2276.19,1.4118,178.26,1165.049,0.00353,2.986,180,170.58,BATCH-002
2026-08-27 09:10:00,27234.143,42749.811,941.156,1131.519,2275.338,1.4029,177.072,1165.245,0.0067,2.29,180,171.421,BATCH-002
