采集时间,GAS_FLOW_NM3H,助燃风量[Nm3/h],ZONE1_TEMP_C,二段炉温(℃),均热段温度(°F),WALKING_BEAM_SPEED,入炉温度,SLAB_OUT_TEMP_C,炉压(kPa),O2_PERCENT,板坯厚度,THROUGHPUT,厂商临时标签
2026-09-02 08:00:00,,45621.292,,1120.101,2255.257,1.197,170.204,,0.00555,3.008,180,170.908,BATCH-001
2026-09-02 08:01:00,25749.091,45567.178,930.828,1121.099,2255.678,1.1917,173.031,1159.949,0.00556,3.026,180,168.006,BATCH-001
2026-09-02 08:02:00,25738.316,45498.276,930.84,1121.255,2257.997,1.2087,174.175,1160.097,0.00694,2.965,180,169.871,BATCH-001
2026-09-02 08:03:00,25675.077,45895.802,931.013,1120.773,2259.574,1.2099,171.928,1159.696,0.00836,3.031,180,168.699,BATCH-001
2026-09-02 08:04:00,25780.37,45705.879,929.946,1120.505,2259.907,1.197,169.18,1159.212,0.00506,2.965,180,168.284,BATCH-001
2026-09-02 08:05:00,25831.874,46154.209,929.75,1121.901,2258.843,1.2164,171.767,1158.82,0.00723,3.009,180,167.949,BATCH-001
2026-09-02 08:06:00,25716.444,46095.054,929.531,1121.982,2260.417,1.2009,173.624,1158.599,0.00437,2.981,180,170.392,BATCH-001
2026-09-02 08:07:00,25722.618,46014.805,929.664,1122.178,2260.803,1.2091,172.733,1158.82,0.0062,3.037,180,170.287,BATCH-001
2026-09-02 08:08:00,25663.11,45621.262,928.556,1122.264,2261.203,1.2132,173.874,1158.542,0.00549,3.042,180,167.297,BATCH-001
2026-09-02 08:09:00,25817.317,45650.705,929.069,1123.009,2261.471,1.1938,171.574,1158.286,0.00697,3.061,180,170.328,BATCH-001
2026-09-02 08:10:00,25923.814,46664.471,927.075,1123.033,2262.1,1.1985,172.659,1157.5,0.00669,3.096,180,167.898,BATCH-001
2026-09-02 08:11:00,25862.857,46550.629,927.329,1124.151,2261.975,1.2021,174.802,1157.619,0.0059,3.152,180,169.721,BATCH-001
2026-09-02 08:12:00,25948.88,46927.555,927.416,1125.689,2261.632,1.2014,173.672,1157.895,0.00541,3.061,180,168.961,BATCH-001
2026-09-02 08:13:00,25792.998,45947.805,929.446,1125.666,2262.995,1.2195,172.289,1157.467,0.006,2.977,180,168.172,BATCH-001
2026-09-02 08:14:00,26025.504,46301.394,929.833,1126.113,2265.47,1.2203,172.767,1156.834,0.00724,2.988,180,168.107,BATCH-001
2026-09-02 08:15:00,25728.374,45939.966,929.509,1126.333,2264.698,1.2212,172.47,1156.804,0.00492,3.039,180,169.328,BATCH-001
2026-09-02 08:16:00,25847.761,46225.176,930.556,1125.861,2266.282,1.2435,171.16,1157.146,0.00491,3.053,180,166.901,BATCH-001
2026-09-02 08:17:00,25976.497,46769.355,929.896,1125.246,2267.022,1.2267,175.945,1157.202,0.00701,3.129,180,170.015,BATCH-001
2026-09-02 08:18:00,25946.598,46486.095,928.931,1126.48,2265.711,1.2132,175.432,1158.073,0.00683,3.043,180,167.762,BATCH-001
2026-09-02 08:19:00,25861.754,46648.419,928.715,1127.123,2265.741,1.2269,173.274,1157.703,0.00522,3.044,180,170.858,BATCH-001
2026-09-02 08:20:00,25999.839,46514.255,928.739,1127.185,2266.606,1.2054,173.324,1157.986,0.00406,3.034,180,169.809,BATCH-001
2026-09-02 08:21:00,25935.405,46675.714,929.56,1127.735,2265.52,1.2209,173.58,1158.118,0.0067,3.165,180,170.97,BATCH-001
2026-09-02 08:22:00,25742.184,46051.563,929.625,1127.089,2266.43,1.2141,171.141,1158.17,0.0078,2.988,180,169.925,BATCH-001
2026-09-02 08:23:00,26025.589,46865.402,929.582,1126.281,2266.282,1.2155,175.95,1158.054,0.00723,3.037,180,170.75,BATCH-001
2026-09-02 08:24:00,25875.209,46300.636,928.153,1126.032,2267.39,1.2231,176.149,1158.085,0.00593,3.141,180,168.94,BATCH-001
2026-09-02 08:25:00,26017.317,46583.454,929.409,1126.43,2266.713,1.2254,171.63,1158.297,0.00628,3.046,180,169.088,BATCH-001
2026-09-02 08:26:00,25857.364,45968.899,930.728,1126.938,2267.421,1.2239,174.579,1158.007,0.00647,3.012,180,168.97,BATCH-001
2026-09-02 08:27:00,25982.48,46700.348,930.896,1127.578,2267.101,1.2373,174.832,1158.085,0.00542,2.963,180,168.673,BATCH-001
2026-09-02 08:28:00,25983.976,45951.782,930.649,1128.437,2267.064,1.2343,173.422,1157.56,0.00461,2.974,180,167.964,BATCH-001
2026-09-02 08:29:00,26049.841,46478.368,930.367,1127.832,2267.701,1.2277,174.329,1157.568,0.00394,3.091,180,170.538,BATCH-001
2026-09-02 08:30:00,26087.246,47005.725,929.144,1127.176,2267.334,1.2435,174.033,1157.558,0.00517,3.169,180,170.471,BATCH-001
2026-09-02 08:31:00,26015.041,46233.508,930.197,1125.998,2268.15,1.2349,175.258,1157.703,0.00624,3.002,180,169.035,BATCH-001
2026-09-02 08:32:00,25796.254,46373.575,930.562,1125.268,2269.277,1.231,174.328,1158.662,0.00766,3.086,180,170.984,BATCH-001
2026-09-02 08:33:00,25990.595,47058.968,930.869,1124.381,2268.975,1.2332,174.915,1158.982,0.00539,3.146,180,167.629,BATCH-001
2026-09-02 08:34:00,26096.953,46816.985,930.679,1123.533,2267.992,1.2378,175.387,1158.631,0.00772,3.209,180,168.515,BATCH-001
2026-09-02 08:35:00,26015.897,46287.057,931.258,1123.419,2267.337,1.2586,175.962,1158.007,0.00413,3.075,180,171.505,BATCH-001
2026-09-02 08:36:00,26082.174,46478.919,931.536,1123.069,2266.592,1.2411,174.853,1157.74,0.00616,3.087,180,168.39,BATCH-001
2026-09-02 08:37:00,,46376.491,932.228,1123.144,2268.65,1.2472,175.422,1158.099,0.00583,3.027,180,172.272,BATCH-001
2026-09-02 08:38:00,26071.621,46388.447,931.433,1123.315,2269.182,1.2437,173.529,1157.797,0.00595,3.029,180,168.965,BATCH-001
2026-09-02 08:39:00,26007.687,46475.895,930.709,1122.657,2268.816,1.2508,175.681,1157.694,0.00554,2.999,180,169.29,BATCH-001
2026-09-02 08:40:00,26051.878,47188.348,929.715,1123.205,2268.154,1.2385,177.583,1158.01,0.0062,3.144,180,169.741,BATCH-001
2026-09-02 08:41:00,26077.341,46554.902,930.509,1124.221,2269.323,1.2572,175.687,1157.697,0.00496,2.978,180,168.232,BATCH-001
2026-09-02 08:42:00,26066.402,46473.208,931.158,1125.117,2270.039,1.2261,176.544,1157.87,0.00668,2.974,180,165.906,BATCH-001
2026-09-02 08:43:00,26013.069,46414.952,,1125.006,2269.624,1.2439,173.151,1158.166,0.00643,3.043,180,167.516,BATCH-001
