采集时间,GAS_FLOW_NM3H,助燃风量[Nm3/h],ZONE1_TEMP_C,二段炉温(℃),均热段温度(°F),WALKING_BEAM_SPEED,入炉温度,SLAB_OUT_TEMP_C,炉压(kPa),O2_PERCENT,板坯厚度,THROUGHPUT,厂商临时标签
2026-09-08 08:00:00,24201.627,43559.458,928.903,1119.515,2255.384,1.2012,171.376,1159.854,0.00679,3.014,180,168.87,BATCH-001
2026-09-08 08:01:00,24207.823,43572.218,927.902,1119.448,2254.956,1.1992,173.173,1159.747,0.00548,3.091,180,170.468,BATCH-001
2026-09-08 08:02:00,24188.181,43539.476,926.923,1119.406,2254.915,1.2016,174.972,1159.538,0.00662,3.129,180,172.205,BATCH-001
2026-09-08 08:03:00,24194.343,43547.302,926.103,1119.195,2254.63,1.199,172.502,1159.271,0.00727,3.138,180,169.251,BATCH-001
2026-09-08 08:04:00,24208.195,43579.468,925.745,1119.18,2254.628,1.1977,173.635,1158.926,0.00691,3.182,180,167.714,BATCH-001
2026-09-08 08:05:00,24190.386,43543.877,924.706,1118.983,2254.308,1.1985,172.139,1158.81,0.00569,3.098,180,165.407,BATCH-001
2026-09-08 08:06:00,24214.34,43586.647,923.957,1118.471,2254.028,1.1997,173.686,1158.802,0.00678,3.198,180,165.72,BATCH-001
2026-09-08 08:07:00,24199.776,43564.034,923.585,1118.263,2253.846,1.1979,172.902,1158.713,0.00485,3.134,180,168.379,BATCH-001
2026-09-08 08:08:00,24199.718,43559.418,923.287,1118.118,2253.27,1.2025,171.676,1158.431,0.00567,3.083,180,168.004,BATCH-001
2026-09-08 08:09:00,24215.017,43588.529,922.827,1117.601,2253.005,1.1996,172.712,1158.033,0.00633,3.118,180,171.169,BATCH-001
2026-09-08 08:10:00,24220.36,43599.129,922.442,1117.363,2253.151,1.1995,174.735,1157.604,0.00513,2.997,180,165.828,BATCH-001
2026-09-08 08:11:00,24203.792,43563.737,922.168,1117.041,2252.456,1.1992,173.745,1157.253,0.00652,3.012,180,170.564,BATCH-001
2026-09-08 08:12:00,24219.727,43595.417,921.442,1117.124,2252.489,1.2013,172.522,1156.994,0.00475,3.202,180,168.782,BATCH-001
2026-09-08 08:13:00,24185.464,43535.598,921.18,1117.154,2252.78,1.1996,171.98,1156.699,0.00755,3.071,180,167.947,BATCH-001
2026-09-08 08:14:00,24213.207,43584.562,920.988,1117.227,2252.782,1.2024,172.974,1156.515,0.00553,3.095,180,168.814,BATCH-001
2026-09-08 08:15:00,24217.576,43591.569,920.535,1117.134,2253.155,1.1998,170.95,1156.233,0.00562,3.142,180,169.911,BATCH-001
2026-09-08 08:16:00,24202.623,43561.836,920.112,1117.372,2253.424,1.2016,174.256,1156.096,0.00723,3.117,180,169.094,BATCH-001
2026-09-08 08:17:00,24202.35,43563.571,919.838,1116.9,2253.588,1.1994,173.492,1155.898,0.00491,3.14,180,169.389,BATCH-001
2026-09-08 08:18:00,24198.724,43553.25,919.931,1116.774,2253.503,1.1981,174.115,1155.662,0.00577,3.068,180,167.889,BATCH-001
2026-09-08 08:19:00,24215.189,43590.545,919.575,1116.655,2253.276,1.1987,173.497,1155.575,0.00741,3.073,180,165.964,BATCH-001
2026-09-08 08:20:00,24207.688,43572.508,919.518,1116.52,2253.499,1.2006,172.625,1155.587,0.00558,3.03,180,170.528,BATCH-001
2026-09-08 08:21:00,24221.173,43599.397,919.384,1116.053,2253.561,1.1998,174.059,1155.476,0.00586,3.145,180,166.567,BATCH-001
2026-09-08 08:22:00,24235.625,43625.357,919.364,1115.875,2253.707,1.1997,174.938,1155.384,0.00653,3.116,180,170.282,BATCH-001
